a2622612.565365
Narit-cm 26/02/2026 12:54:48 26/02/2026 12:56:53 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.69023	0.000568907	0.0166597	0.0166632	0
5.69011	0.000538876	0	0	0
5.69192	0.000531936	0.0166597	0.0166632	0
5.69119	0.000547113	0	0	0
5.69003	0.000529082	0.0166597	0.0166632	0
5.691	0.00053479	0	0	0
5.69098	0.000554897	0.0166597	0.0166632	0
5.69022	0.000541406	0	0	0
5.6904	0.000543157	0	0	0
5.6917	0.00056028	0.0166597	0.0166632	0
5.69129	0.000550681	0.0166597	0.0166632	0
5.69109	0.000533168	0	0	0
5.69075	0.000527784	0.0166597	0.0166632	0
5.69066	0.000529341	0.0166597	0.0166632	0
5.69032	0.00054173	0.0166597	0.0166632	0
5.69071	0.000549448	0	0	0
5.69095	0.000537644	0.0333195	0.0234645	0
5.69065	0.000539135	0.0166597	0.0166632	0
5.69019	0.000542573	0	0	0
5.69058	0.000538357	0.0166597	0.0166632	0
5.69094	0.0005344	0	0	0
5.69035	0.000539979	0.0166597	0.0166632	0
5.69126	0.000531482	0	0	0
5.69046	0.000542378	0	0	0
5.68912	0.000535892	0	0	0
5.69037	0.000541665	0	0	0
5.69158	0.000535827	0	0	0
5.69169	0.000526487	0	0	0
5.69089	0.00053226	0	0	0
5.69084	0.000547049	0.0166597	0.0166632	0
5.69051	0.000532195	0	0	0
5.69105	0.000533946	0	0	0
5.6911	0.000521493	0.0166597	0.0166632	0
5.69082	0.000549708	0.0666389	0.0333264	0
5.69043	0.000556778	0	0	0
5.69067	0.000547567	0	0	0
5.69104	0.000543546	0.0499792	0.0289055	0
5.69122	0.000534984	0	0	0
5.69023	0.000536022	0.0166597	0.0166632	0
5.69007	0.000538941	0.0499792	0.0289055	0
5.69087	0.000525449	0	0	0
5.68965	0.000533557	0	0	0
5.68958	0.000529406	0	0	0
5.69094	0.000535373	0	0	0
5.69053	0.00053479	0.0166597	0.0166632	0
5.69026	0.000538552	0	0	0
5.69135	0.000538552	0.0166597	0.0166632	0
5.69053	0.000540043	0	0	0
5.68959	0.000541081	0	0	0
5.68989	0.000532455	0	0	0
5.69054	0.00052733	0	0	0
5.69032	0.000527525	0.0166597	0.0166632	0
5.69023	0.000532649	0	0	0
5.69086	0.000538292	0	0	0
5.69072	0.000527201	0.0166597	0.0166632	0
5.69086	0.000522401	0	0	0
5.69042	0.000539006	0	0	0
5.69056	0.000536346	0.0166597	0.0166632	0
5.69079	0.000529665	0	0	0
